Sample_title	Sample_geo_accession	Sample_status	Sample_submission_date	Sample_last_update_date	Sample_type	Sample_channel_count	Sample_source_name_ch1	Sample_organism_ch1	Sample_characteristics_ch1	Sample_molecule_ch1	Sample_taxid_ch1	Sample_platform_id	Sample_contact_name	Sample_contact_institute	Sample_contact_address	Sample_contact_city	Sample_contact_state	Sample_contact_zip/postal_code	Sample_contact_country	Sample_data_row_count	Sample_instrument_model	Sample_library_selection	Sample_library_source	Sample_library_strategy	Sample_relation	Sample_relation	Sample_supplementary_file_1	series_matrix_table_begin	ID_REF	series_matrix_table_end
0Cu0Ce_a	GSM2413618	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101865	SRX2391212	NONE		GSM2413618	
0Cu0Ce_b	GSM2413619	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101864	SRX2391213	NONE		GSM2413619	
0Cu0Ce_c	GSM2413620	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101863	SRX2391214	NONE		GSM2413620	
0Cu25Ce_a	GSM2413621	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101862	SRX2391215	NONE		GSM2413621	
0Cu25Ce_b	GSM2413622	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101861	SRX2391216	NONE		GSM2413622	
0Cu25Ce_c	GSM2413623	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101860	SRX2391217	NONE		GSM2413623	
10Cu0Ce_a	GSM2413624	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101859	SRX2391218	NONE		GSM2413624	
10Cu0Ce_b	GSM2413625	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101858	SRX2391219	NONE		GSM2413625	
10Cu0Ce_c	GSM2413626	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101857	SRX2391220	NONE		GSM2413626	
10Cu25Ce_a	GSM2413627	Public on Oct 20 2017	Dec 02 2016	May 15 2019	SRA	1	Bacterial cells	Methylosinus trichosporium	strain: OB3b	total RNA	426	GPL22736	"Wenyu,,Gu"	University of Michigan	"2350 Hayward St, EWRE 283"	Ann Arbor	MI	48105	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06101856	SRX2391221	NONE		GSM2413627	
